City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Kawalu,ID,-7.3817,108.2082,84.65,61,47,5.99,scattered clouds
329,Ayagoz,KZ,47.9714,80.4392,82.78,25,37,4.29,scattered clouds
330,Wattegama,LK,6.7989,81.4808,90.0,49,99,7.11,overcast clouds
331,Papara,BR,-3.9839,-38.7273,77.4,98,10,3.98,clear sky
332,Ancud,CL,-41.8697,-73.8203,38.23,88,99,6.55,overcast clouds
333,Yingcheng,CN,30.95,113.55,89.91,55,68,7.56,broken clouds
334,Nagua,DO,19.3832,-69.8474,76.51,88,95,7.05,overcast clouds
335,Numata,JP,36.6333,139.05,89.13,39,57,1.5,broken clouds
336,Iqaluit,CA,63.7506,-68.5145,40.73,75,20,9.22,few clouds
337,Yerbogachen,RU,61.2767,108.0108,56.64,63,99,13.56,overcast clouds
338,Savalou,BJ,7.9281,1.9756,71.91,94,93,4.03,overcast clouds
339,Saskylakh,RU,71.9167,114.0833,53.76,37,43,7.43,scattered clouds
340,Nemuro,JP,43.3236,145.575,55.15,96,97,1.79,heavy intensity rain
341,Mecca,SA,21.4267,39.8261,89.44,41,57,3.31,broken clouds
342,Beloha,MG,-25.1667,45.05,62.22,77,0,7.31,clear sky
343,Xianyang,CN,34.3378,108.7026,96.49,40,40,11.18,scattered clouds
